coname,gvkey,fyear,cusip,exchange,ticker,datadate,fyr,cik,date,formtype,datefiled,filepath
STEEL DYNAMICS INC,64030,2017,85811910,NAS,STLD,31-Dec-17,12,1022671,31-Dec-17,DEF 14A,3/28/18,https://www.sec.gov/Archives/edgar/data/1022671/0001047469-18-002209.txt
STEEL DYNAMICS INC,64030,2018,85811910,NAS,STLD,31-Dec-18,12,1022671,31-Dec-18,DEF 14A,3/27/19,https://www.sec.gov/Archives/edgar/data/1022671/0001047469-19-001673.txt
STEEL DYNAMICS INC,64030,2019,85811910,NAS,STLD,31-Dec-19,12,1022671,31-Dec-19,DEF 14A,3/24/20,https://www.sec.gov/Archives/edgar/data/1022671/0001047469-20-001731.txt
ANI PHARMACEUTICALS INC,18204,2017,00182C10,NAS,ANIP,31-Dec-17,12,1023024,31-Dec-17,DEF 14A,04/06/18,https://www.sec.gov/Archives/edgar/data/1023024/0001144204-18-019607.txt
ANI PHARMACEUTICALS INC,18204,2018,00182C10,NAS,ANIP,31-Dec-18,12,1023024,31-Dec-18,DEF 14A,04/04/19,https://www.sec.gov/Archives/edgar/data/1023024/0001144204-19-018181.txt
ANI PHARMACEUTICALS INC,18204,2019,00182C10,NAS,ANIP,31-Dec-19,12,1023024,31-Dec-19,DEF 14A,4/23/20,https://www.sec.gov/Archives/edgar/data/1023024/0001104659-20-049964.txt
LITHIA MOTORS INC  -CL A,64175,2017,53679710,NYS,LAD,31-Dec-17,12,1023128,31-Dec-17,DEF 14A,03/09/18,https://www.sec.gov/Archives/edgar/data/1023128/0001023128-18-000037.txt
LITHIA MOTORS INC  -CL A,64175,2018,53679710,NYS,LAD,31-Dec-18,12,1023128,31-Dec-18,DEF 14A,03/11/19,https://www.sec.gov/Archives/edgar/data/1023128/0001023128-19-000073.txt
LITHIA MOTORS INC  -CL A,64175,2019,53679710,NYS,LAD,31-Dec-19,12,1023128,31-Dec-19,DEF 14A,03/11/20,https://www.sec.gov/Archives/edgar/data/1023128/0001023128-20-000037.txt
FORRESTER RESEARCH INC,64061,2017,34656310,NAS,FORR,31-Dec-17,12,1023313,31-Dec-17,DEF 14A,3/27/18,https://www.sec.gov/Archives/edgar/data/1023313/0001564590-18-006818.txt
FORRESTER RESEARCH INC,64061,2018,34656310,NAS,FORR,31-Dec-18,12,1023313,31-Dec-18,DEF 14A,04/02/19,https://www.sec.gov/Archives/edgar/data/1023313/0001564590-19-010513.txt
FORRESTER RESEARCH INC,64061,2019,34656310,NAS,FORR,31-Dec-19,12,1023313,31-Dec-19,DEF 14A,3/31/20,https://www.sec.gov/Archives/edgar/data/1023313/0001564590-20-014424.txt
SIMULATIONS PLUS INC,64929,2017,82921410,NAS,SLP,31-Aug-17,8,1023459,31-Aug-17,DEF 14A,12/29/17,https://www.sec.gov/Archives/edgar/data/1023459/0001683168-17-003415.txt
SIMULATIONS PLUS INC,64929,2018,82921410,NAS,SLP,31-Aug-18,8,1023459,31-Aug-18,DEF 14A,12/31/18,https://www.sec.gov/Archives/edgar/data/1023459/0001683168-18-003827.txt
SIMULATIONS PLUS INC,64929,2019,82921410,NAS,SLP,31-Aug-19,8,1023459,31-Aug-19,DEF 14A,12/30/19,https://www.sec.gov/Archives/edgar/data/1023459/0001683168-19-004087.txt
SIMULATIONS PLUS INC,64929,2020,82921410,NAS,SLP,31-Aug-20,8,1023459,31-Aug-20,DEF 14A,12/29/20,https://www.sec.gov/Archives/edgar/data/1023459/0001683168-20-004464.txt
8X8 INC,65021,2017,28291410,NYS,EGHT,31-Mar-18,3,1023731,31-Mar-17,DEF 14A,07/11/17,https://www.sec.gov/Archives/edgar/data/1023731/0001136261-17-000127.txt
8X8 INC,65021,2018,28291410,NYS,EGHT,31-Mar-19,3,1023731,31-Mar-18,DEF 14A,07/10/18,https://www.sec.gov/Archives/edgar/data/1023731/0001136261-18-000172.txt
8X8 INC,65021,2019,28291410,NYS,EGHT,31-Mar-20,3,1023731,31-Mar-19,DEF 14A,6/27/19,https://www.sec.gov/Archives/edgar/data/1023731/0001023731-19-000060.txt
COTY INC,12151,2017,22207020,NYS,COTY,30-Jun-17,6,1024305,30-Jun-17,DEF 14A,9/28/17,https://www.sec.gov/Archives/edgar/data/1024305/0001024305-17-000116.txt
COTY INC,12151,2018,22207020,NYS,COTY,30-Jun-18,6,1024305,30-Jun-18,DEF 14A,9/20/18,https://www.sec.gov/Archives/edgar/data/1024305/0001024305-18-000057.txt
COTY INC,12151,2019,22207020,NYS,COTY,30-Jun-19,6,1024305,30-Jun-19,DEF 14A,9/25/19,https://www.sec.gov/Archives/edgar/data/1024305/0001024305-19-000109.txt
COTY INC,12151,2020,22207020,NYS,COTY,30-Jun-20,6,1024305,30-Jun-20,DEF 14A,9/24/20,https://www.sec.gov/Archives/edgar/data/1024305/0001024305-20-000093.txt
ROCKWELL AUTOMATION,9203,2017,77390310,NYS,ROK,30-Sep-17,9,1024478,30-Sep-17,DEF 14A,12/21/17,https://www.sec.gov/Archives/edgar/data/1024478/0001206774-17-003454.txt
ROCKWELL AUTOMATION,9203,2018,77390310,NYS,ROK,30-Sep-18,9,1024478,30-Sep-18,DEF 14A,12/20/18,https://www.sec.gov/Archives/edgar/data/1024478/0001308179-18-000290.txt
ROCKWELL AUTOMATION,9203,2019,77390310,NYS,ROK,30-Sep-19,9,1024478,30-Sep-19,DEF 14A,12/19/19,https://www.sec.gov/Archives/edgar/data/1024478/0001308179-19-000257.txt
ROCKWELL AUTOMATION,9203,2020,77390310,NYS,ROK,30-Sep-20,9,1024478,30-Sep-20,DEF 14A,12/23/20,https://www.sec.gov/Archives/edgar/data/1024478/0001308179-20-000294.txt
TENNECO INC,10443,2017,88034910,NYS,TEN,31-Dec-17,12,1024725,31-Dec-17,DEF 14A,04/04/18,https://www.sec.gov/Archives/edgar/data/1024725/0001193125-18-107472.txt
TENNECO INC,10443,2018,88034910,NYS,TEN,31-Dec-18,12,1024725,31-Dec-18,DEF 14A,04/03/19,https://www.sec.gov/Archives/edgar/data/1024725/0001193125-19-096654.txt
TENNECO INC,10443,2019,88034910,NYS,TEN,31-Dec-19,12,1024725,31-Dec-19,DEF 14A,04/01/20,https://www.sec.gov/Archives/edgar/data/1024725/0001193125-20-094795.txt
KILROY REALTY CORP,64306,2017,49427F10,NYS,KRC,31-Dec-17,12,1025996,31-Dec-17,DEF 14A,04/12/18,https://www.sec.gov/Archives/edgar/data/1025996/0001193125-18-115598.txt
KILROY REALTY CORP,64306,2018,49427F10,NYS,KRC,31-Dec-18,12,1025996,31-Dec-18,DEF 14A,04/05/19,https://www.sec.gov/Archives/edgar/data/1025996/0001193125-19-099265.txt
KILROY REALTY CORP,64306,2019,49427F10,NYS,KRC,31-Dec-19,12,1025996,31-Dec-19,DEF 14A,04/08/20,https://www.sec.gov/Archives/edgar/data/1025996/0001193125-20-101429.txt
TACTILE SYSTEMS TECHNOLOGY,26847,2017,87357P10,NAS,TCMD,31-Dec-17,12,1027838,31-Dec-17,DEF 14A,3/27/18,https://www.sec.gov/Archives/edgar/data/1027838/0001558370-18-002411.txt
TACTILE SYSTEMS TECHNOLOGY,26847,2018,87357P10,NAS,TCMD,31-Dec-18,12,1027838,31-Dec-18,DEF 14A,3/26/19,https://www.sec.gov/Archives/edgar/data/1027838/0001558370-19-002432.txt
TACTILE SYSTEMS TECHNOLOGY,26847,2019,87357P10,NAS,TCMD,31-Dec-19,12,1027838,31-Dec-19,DEF 14A,3/19/20,https://www.sec.gov/Archives/edgar/data/1027838/0001558370-20-002947.txt
PACIFIC PREMIER BANCORP INC,64979,2017,69478X10,NAS,PPBI,31-Dec-17,12,1028918,31-Dec-17,DEF 14A,4/13/18,https://www.sec.gov/Archives/edgar/data/1028918/0001140361-18-018462.txt
PACIFIC PREMIER BANCORP INC,64979,2018,69478X10,NAS,PPBI,31-Dec-18,12,1028918,31-Dec-18,DEF 14A,04/09/19,https://www.sec.gov/Archives/edgar/data/1028918/0001028918-19-000054.txt
PACIFIC PREMIER BANCORP INC,64979,2019,69478X10,NAS,PPBI,31-Dec-19,12,1028918,31-Dec-19,DEF 14A,04/08/20,https://www.sec.gov/Archives/edgar/data/1028918/0001028918-20-000118.txt
URSTADT BIDDLE PROPERTIES,5763,2017,91728620,NYS,UBA,31-Oct-17,10,1029800,31-Oct-17,DEF 14A,02/08/18,https://www.sec.gov/Archives/edgar/data/1029800/0001206774-18-000369.txt
URSTADT BIDDLE PROPERTIES,5763,2018,91728620,NYS,UBA,31-Oct-18,10,1029800,31-Oct-18,DEF 14A,02/08/19,https://www.sec.gov/Archives/edgar/data/1029800/0001206774-19-000346.txt
URSTADT BIDDLE PROPERTIES,5763,2019,91728620,NYS,UBA,31-Oct-19,10,1029800,31-Oct-19,DEF 14A,02/04/20,https://www.sec.gov/Archives/edgar/data/1029800/0001206774-20-000354.txt
OFG BANCORP,16981,2017,67103X10,NYS,OFG,31-Dec-17,12,1030469,31-Dec-17,DEF 14A,3/15/18,https://www.sec.gov/Archives/edgar/data/1030469/0001193125-18-083502.txt
OFG BANCORP,16981,2018,67103X10,NYS,OFG,31-Dec-18,12,1030469,31-Dec-18,DEF 14A,3/14/19,https://www.sec.gov/Archives/edgar/data/1030469/0001564590-19-007597.txt
OFG BANCORP,16981,2019,67103X10,NYS,OFG,31-Dec-19,12,1030469,31-Dec-19,DEF 14A,03/11/20,https://www.sec.gov/Archives/edgar/data/1030469/0001564590-20-010095.txt
GROUP 1 AUTOMOTIVE INC,65718,2017,39890510,NYS,GPI,31-Dec-17,12,1031203,31-Dec-17,DEF 14A,04/12/18,https://www.sec.gov/Archives/edgar/data/1031203/0001308179-18-000176.txt
GROUP 1 AUTOMOTIVE INC,65718,2018,39890510,NYS,GPI,31-Dec-18,12,1031203,31-Dec-18,DEF 14A,04/11/19,https://www.sec.gov/Archives/edgar/data/1031203/0001308179-19-000138.txt
GROUP 1 AUTOMOTIVE INC,65718,2019,39890510,NYS,GPI,31-Dec-19,12,1031203,31-Dec-19,DEF 14A,04/08/20,https://www.sec.gov/Archives/edgar/data/1031203/0001308179-20-000160.txt
FIRSTENERGY CORP,8099,2017,33793210,NYS,FE,31-Dec-17,12,1031296,31-Dec-17,DEF 14A,3/30/18,https://www.sec.gov/Archives/edgar/data/1031296/0001193125-18-102860.txt
FIRSTENERGY CORP,8099,2018,33793210,NYS,FE,31-Dec-18,12,1031296,31-Dec-18,DEF 14A,04/01/19,https://www.sec.gov/Archives/edgar/data/1031296/0001193125-19-093674.txt
FIRSTENERGY CORP,8099,2019,33793210,NYS,FE,31-Dec-19,12,1031296,31-Dec-19,DEF 14A,04/01/20,https://www.sec.gov/Archives/edgar/data/1031296/0001193125-20-093494.txt
FRANKLIN STREET PROPERTIES,163884,2017,35471R10,ASE,FSP,31-Dec-17,12,1031316,31-Dec-17,DEF 14A,3/29/18,https://www.sec.gov/Archives/edgar/data/1031316/0001558370-18-002540.txt
FRANKLIN STREET PROPERTIES,163884,2018,35471R10,ASE,FSP,31-Dec-18,12,1031316,31-Dec-18,DEF 14A,3/28/19,https://www.sec.gov/Archives/edgar/data/1031316/0001558370-19-002546.txt
FRANKLIN STREET PROPERTIES,163884,2019,35471R10,ASE,FSP,31-Dec-19,12,1031316,31-Dec-19,DEF 14A,04/02/20,https://www.sec.gov/Archives/edgar/data/1031316/0001558370-20-003565.txt
GULF ISLAND FABRICATION INC,64568,2017,40230710,NAS,GIFI,31-Dec-17,12,1031623,31-Dec-17,DEF 14A,3/22/18,https://www.sec.gov/Archives/edgar/data/1031623/0001031623-18-000016.txt
GULF ISLAND FABRICATION INC,64568,2018,40230710,NAS,GIFI,31-Dec-18,12,1031623,31-Dec-18,DEF 14A,3/29/19,https://www.sec.gov/Archives/edgar/data/1031623/0001031623-19-000018.txt
GULF ISLAND FABRICATION INC,64568,2019,40230710,NAS,GIFI,31-Dec-19,12,1031623,31-Dec-19,DEF 14A,04/07/20,https://www.sec.gov/Archives/edgar/data/1031623/0001564590-20-015609.txt
SLM CORP,20430,2017,78442P10,NAS,SLM,31-Dec-17,12,1032033,31-Dec-17,DEF 14A,4/27/18,https://www.sec.gov/Archives/edgar/data/1032033/0001193125-18-139039.txt
SLM CORP,20430,2018,78442P10,NAS,SLM,31-Dec-18,12,1032033,31-Dec-18,DEF 14A,4/26/19,https://www.sec.gov/Archives/edgar/data/1032033/0001193125-19-122463.txt
SLM CORP,20430,2019,78442P10,NAS,SLM,31-Dec-19,12,1032033,31-Dec-19,DEF 14A,4/28/20,https://www.sec.gov/Archives/edgar/data/1032033/0001193125-20-123160.txt
SEMPRA ENERGY,8272,2017,81685110,NYS,SRE,31-Dec-17,12,1032208,31-Dec-17,DEF 14A,3/23/18,https://www.sec.gov/Archives/edgar/data/1032208/0001193125-18-092397.txt
SEMPRA ENERGY,8272,2018,81685110,NYS,SRE,31-Dec-18,12,1032208,31-Dec-18,DEF 14A,3/22/19,https://www.sec.gov/Archives/edgar/data/1032208/0001193125-19-082379.txt
SEMPRA ENERGY,8272,2019,81685110,NYS,SRE,31-Dec-19,12,1032208,31-Dec-19,DEF 14A,3/19/20,https://www.sec.gov/Archives/edgar/data/1032208/0001193125-20-077350.txt
MAXIMUS INC,64901,2017,57793310,NYS,MMS,30-Sep-17,9,1032220,30-Sep-17,DEF 14A,1/26/18,https://www.sec.gov/Archives/edgar/data/1032220/0001032220-18-000006.txt
MAXIMUS INC,64901,2018,57793310,NYS,MMS,30-Sep-18,9,1032220,30-Sep-18,DEF 14A,1/25/19,https://www.sec.gov/Archives/edgar/data/1032220/0001032220-19-000008.txt
MAXIMUS INC,64901,2019,57793310,NYS,MMS,30-Sep-19,9,1032220,30-Sep-19,DEF 14A,1/27/20,https://www.sec.gov/Archives/edgar/data/1032220/0001140361-20-001536.txt
FLAGSTAR BANCORP INC,64699,2017,33793070,NYS,FBC,31-Dec-17,12,1033012,31-Dec-17,DEF 14A,04/12/18,https://www.sec.gov/Archives/edgar/data/1033012/0001033012-18-000042.txt
FLAGSTAR BANCORP INC,64699,2018,33793070,NYS,FBC,31-Dec-18,12,1033012,31-Dec-18,DEF 14A,04/11/19,https://www.sec.gov/Archives/edgar/data/1033012/0001033012-19-000037.txt
FLAGSTAR BANCORP INC,64699,2019,33793070,NYS,FBC,31-Dec-19,12,1033012,31-Dec-19,DEF 14A,4/21/20,https://www.sec.gov/Archives/edgar/data/1033012/0001033012-20-000022.txt
LUMINEX CORP,133504,2017,5.50E+14,NAS,LMNX,31-Dec-17,12,1033905,31-Dec-17,DEF 14A,04/02/18,https://www.sec.gov/Archives/edgar/data/1033905/0001033905-18-000036.txt
LUMINEX CORP,133504,2018,5.50E+14,NAS,LMNX,31-Dec-18,12,1033905,31-Dec-18,DEF 14A,04/01/19,https://www.sec.gov/Archives/edgar/data/1033905/0001033905-19-000032.txt
LUMINEX CORP,133504,2019,5.50E+14,NAS,LMNX,31-Dec-19,12,1033905,31-Dec-19,DEF 14A,04/02/20,https://www.sec.gov/Archives/edgar/data/1033905/0001033905-20-000030.txt
SBA COMMUNICATIONS CORP,121382,2017,78410G10,NAS,SBAC,31-Dec-17,12,1034054,31-Dec-17,DEF 14A,04/04/18,https://www.sec.gov/Archives/edgar/data/1034054/0001193125-18-106758.txt
SBA COMMUNICATIONS CORP,121382,2018,78410G10,NAS,SBAC,31-Dec-18,12,1034054,31-Dec-18,DEF 14A,04/05/19,https://www.sec.gov/Archives/edgar/data/1034054/0001193125-19-098626.txt
SBA COMMUNICATIONS CORP,121382,2019,78410G10,NAS,SBAC,31-Dec-19,12,1034054,31-Dec-19,DEF 14A,04/03/20,https://www.sec.gov/Archives/edgar/data/1034054/0001193125-20-097817.txt
VALERO ENERGY CORP,15247,2017,91913Y10,NYS,VLO,31-Dec-17,12,1035002,31-Dec-17,DEF 14A,3/21/18,https://www.sec.gov/Archives/edgar/data/1035002/0001193125-18-090034.txt
VALERO ENERGY CORP,15247,2018,91913Y10,NYS,VLO,31-Dec-18,12,1035002,31-Dec-18,DEF 14A,3/20/19,https://www.sec.gov/Archives/edgar/data/1035002/0001193125-19-080420.txt
VALERO ENERGY CORP,15247,2019,91913Y10,NYS,VLO,31-Dec-19,12,1035002,31-Dec-19,DEF 14A,3/19/20,https://www.sec.gov/Archives/edgar/data/1035002/0001193125-20-078074.txt
CALIFORNIA WATER SERVICE GP,2628,2017,13078810,NYS,CWT,31-Dec-17,12,1035201,31-Dec-17,DEF 14A,4/18/18,https://www.sec.gov/Archives/edgar/data/1035201/0001047469-18-002930.txt
CALIFORNIA WATER SERVICE GP,2628,2018,13078810,NYS,CWT,31-Dec-18,12,1035201,31-Dec-18,DEF 14A,4/17/19,https://www.sec.gov/Archives/edgar/data/1035201/0001047469-19-002326.txt
CALIFORNIA WATER SERVICE GP,2628,2019,13078810,NYS,CWT,31-Dec-19,12,1035201,31-Dec-19,DEF 14A,4/15/20,https://www.sec.gov/Archives/edgar/data/1035201/0001047469-20-002330.txt
INTUITIVE SURGICAL INC,136725,2017,4.61E+64,NAS,ISRG,31-Dec-17,12,1035267,31-Dec-17,DEF 14A,03/02/18,https://www.sec.gov/Archives/edgar/data/1035267/0001035267-18-000039.txt
INTUITIVE SURGICAL INC,136725,2018,4.61E+64,NAS,ISRG,31-Dec-18,12,1035267,31-Dec-18,DEF 14A,03/08/19,https://www.sec.gov/Archives/edgar/data/1035267/0001035267-19-000034.txt
INTUITIVE SURGICAL INC,136725,2019,4.61E+64,NAS,ISRG,31-Dec-19,12,1035267,31-Dec-19,DEF 14A,3/13/20,https://www.sec.gov/Archives/edgar/data/1035267/0001035267-20-000062.txt
ALEXANDRIA R E EQUITIES INC,64821,2017,1527110,NYS,ARE,31-Dec-17,12,1035443,31-Dec-17,DEF 14A,4/20/18,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-18-000064.txt
ALEXANDRIA R E EQUITIES INC,64821,2018,1527110,NYS,ARE,31-Dec-18,12,1035443,31-Dec-18,DEF 14A,04/09/19,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-19-000114.txt
ALEXANDRIA R E EQUITIES INC,64821,2019,1527110,NYS,ARE,31-Dec-19,12,1035443,31-Dec-19,DEF 14A,04/06/20,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-20-000119.txt
COMFORT SYSTEMS USA INC,64997,2017,19990810,NYS,FIX,31-Dec-17,12,1035983,31-Dec-17,DEF 14A,4/13/18,https://www.sec.gov/Archives/edgar/data/1035983/0001558370-18-002968.txt
COMFORT SYSTEMS USA INC,64997,2018,19990810,NYS,FIX,31-Dec-18,12,1035983,31-Dec-18,DEF 14A,04/12/19,https://www.sec.gov/Archives/edgar/data/1035983/0001558370-19-002958.txt
COMFORT SYSTEMS USA INC,64997,2019,19990810,NYS,FIX,31-Dec-19,12,1035983,31-Dec-19,DEF 14A,04/09/20,https://www.sec.gov/Archives/edgar/data/1035983/0001558370-20-003759.txt
IDENTIV INC,65552,2017,45170X20,NAS,INVE,31-Dec-17,12,1036044,31-Dec-17,DEF 14A,4/20/18,https://www.sec.gov/Archives/edgar/data/1036044/0001564590-18-008599.txt
IDENTIV INC,65552,2018,45170X20,NAS,INVE,31-Dec-18,12,1036044,31-Dec-18,DEF 14A,4/18/19,https://www.sec.gov/Archives/edgar/data/1036044/0001564590-19-011896.txt
IDENTIV INC,65552,2019,45170X20,NAS,INVE,31-Dec-19,12,1036044,31-Dec-19,DEF 14A,4/22/20,https://www.sec.gov/Archives/edgar/data/1036044/0001564590-20-017960.txt
NII HOLDINGS INC,140902,2017,62913F50,NAS,NIHD,31-Dec-17,12,1037016,31-Dec-17,DEF 14A,04/04/18,https://www.sec.gov/Archives/edgar/data/1037016/0001206774-18-001076.txt
NII HOLDINGS INC,140902,2018,62913F50,NAS,NIHD,31-Dec-18,12,1037016,31-Dec-18,DEF 14A,7/15/19,https://www.sec.gov/Archives/edgar/data/1037016/0001047469-19-004182.txt
RALPH LAUREN CORP,64891,2017,75121210,NYS,RL,31-Mar-18,3,1037038,31-Mar-17,DEF 14A,6/29/17,https://www.sec.gov/Archives/edgar/data/1037038/0001193125-17-218327.txt
RALPH LAUREN CORP,64891,2018,75121210,NYS,RL,31-Mar-19,3,1037038,31-Mar-18,DEF 14A,6/20/18,https://www.sec.gov/Archives/edgar/data/1037038/0001193125-18-198133.txt
RALPH LAUREN CORP,64891,2019,75121210,NYS,RL,31-Mar-20,3,1037038,31-Mar-19,DEF 14A,6/21/19,https://www.sec.gov/Archives/edgar/data/1037038/0001193125-19-178914.txt
BOSTON PROPERTIES INC,64925,2017,10112110,NYS,BXP,31-Dec-17,12,1037540,31-Dec-17,DEF 14A,04/06/18,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-18-108924.txt
BOSTON PROPERTIES INC,64925,2018,10112110,NYS,BXP,31-Dec-18,12,1037540,31-Dec-18,DEF 14A,04/05/19,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-19-098039.txt
BOSTON PROPERTIES INC,64925,2019,10112110,NYS,BXP,31-Dec-19,12,1037540,31-Dec-19,DEF 14A,04/03/20,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-20-096283.txt
METTLER-TOLEDO INTL INC,65772,2017,59268810,NYS,MTD,31-Dec-17,12,1037646,31-Dec-17,DEF 14A,3/15/18,https://www.sec.gov/Archives/edgar/data/1037646/0001174947-18-000395.txt
METTLER-TOLEDO INTL INC,65772,2018,59268810,NYS,MTD,31-Dec-18,12,1037646,31-Dec-18,DEF 14A,3/15/19,https://www.sec.gov/Archives/edgar/data/1037646/0001174947-19-000373.txt
METTLER-TOLEDO INTL INC,65772,2019,59268810,NYS,MTD,31-Dec-19,12,1037646,31-Dec-19,DEF 14A,3/16/20,https://www.sec.gov/Archives/edgar/data/1037646/0001174947-20-000401.txt
ARCH RESOURCES INC,14793,2017,03940R10,NYS,ARCH,31-Dec-17,12,1037676,31-Dec-17,DEF 14A,3/19/18,https://www.sec.gov/Archives/edgar/data/1037676/0001047469-18-001816.txt
ARCH RESOURCES INC,14793,2018,03940R10,NYS,ARCH,31-Dec-18,12,1037676,31-Dec-18,DEF 14A,3/18/19,https://www.sec.gov/Archives/edgar/data/1037676/0001047469-19-001348.txt
ARCH RESOURCES INC,14793,2019,03940R10,NYS,ARCH,31-Dec-19,12,1037676,31-Dec-19,DEF 14A,3/16/20,https://www.sec.gov/Archives/edgar/data/1037676/0001047469-20-001503.txt
AMETEK INC,1598,2017,3110010,NYS,AME,31-Dec-17,12,1037868,31-Dec-17,DEF 14A,3/26/18,https://www.sec.gov/Archives/edgar/data/1037868/0001564590-18-006759.txt
AMETEK INC,1598,2018,3110010,NYS,AME,31-Dec-18,12,1037868,31-Dec-18,DEF 14A,03/12/19,https://www.sec.gov/Archives/edgar/data/1037868/0001564590-19-007402.txt
AMETEK INC,1598,2019,3110010,NYS,AME,31-Dec-19,12,1037868,31-Dec-19,DEF 14A,3/24/20,https://www.sec.gov/Archives/edgar/data/1037868/0001564590-20-012514.txt
JONES LANG LASALLE INC,65108,2017,48020Q10,NYS,JLL,31-Dec-17,12,1037976,31-Dec-17,DEF 14A,4/19/18,https://www.sec.gov/Archives/edgar/data/1037976/0001398344-18-005736.txt
JONES LANG LASALLE INC,65108,2018,48020Q10,NYS,JLL,31-Dec-18,12,1037976,31-Dec-18,DEF 14A,4/18/19,https://www.sec.gov/Archives/edgar/data/1037976/0001398344-19-006769.txt
JONES LANG LASALLE INC,65108,2019,48020Q10,NYS,JLL,31-Dec-19,12,1037976,31-Dec-19,DEF 14A,4/17/20,https://www.sec.gov/Archives/edgar/data/1037976/0001308179-20-000181.txt
SILICON LABORATORIES INC,133288,2017,82691910,NAS,SLAB,31-Dec-17,12,1038074,31-Dec-17,DEF 14A,03/08/18,https://www.sec.gov/Archives/edgar/data/1038074/0001193125-18-075145.txt
SILICON LABORATORIES INC,133288,2018,82691910,NAS,SLAB,31-Dec-18,12,1038074,31-Dec-18,DEF 14A,03/07/19,https://www.sec.gov/Archives/edgar/data/1038074/0001193125-19-067192.txt
SILICON LABORATORIES INC,133288,2019,82691910,NAS,SLAB,31-Dec-19,12,1038074,31-Dec-19,DEF 14A,03/09/20,https://www.sec.gov/Archives/edgar/data/1038074/0001193125-20-067281.txt
HESKA CORP,65011,2017,4.28E+34,NAS,HSKA,31-Dec-17,12,1038133,31-Dec-17,DEF 14A,3/26/18,https://www.sec.gov/Archives/edgar/data/1038133/0001038133-18-000016.txt
HESKA CORP,65011,2018,4.28E+34,NAS,HSKA,31-Dec-18,12,1038133,31-Dec-18,DEF 14A,3/26/19,https://www.sec.gov/Archives/edgar/data/1038133/0001038133-19-000025.txt
HESKA CORP,65011,2019,4.28E+34,NAS,HSKA,31-Dec-19,12,1038133,31-Dec-19,DEF 14A,03/02/20,https://www.sec.gov/Archives/edgar/data/1038133/0001038133-20-000016.txt
PIONEER NATURAL RESOURCES CO,14359,2017,72378710,NYS,PXD,31-Dec-17,12,1038357,31-Dec-17,DEF 14A,04/05/18,https://www.sec.gov/Archives/edgar/data/1038357/0001038357-18-000023.txt
PIONEER NATURAL RESOURCES CO,14359,2018,72378710,NYS,PXD,31-Dec-18,12,1038357,31-Dec-18,DEF 14A,04/03/19,https://www.sec.gov/Archives/edgar/data/1038357/0001038357-19-000019.txt
PIONEER NATURAL RESOURCES CO,14359,2019,72378710,NYS,PXD,31-Dec-19,12,1038357,31-Dec-19,DEF 14A,04/09/20,https://www.sec.gov/Archives/edgar/data/1038357/0001038357-20-000021.txt
OSI SYSTEMS INC,65607,2017,67104410,NAS,OSIS,30-Jun-17,6,1039065,30-Jun-17,DEF 14A,10/23/17,https://www.sec.gov/Archives/edgar/data/1039065/0001047469-17-006495.txt
OSI SYSTEMS INC,65607,2018,67104410,NAS,OSIS,30-Jun-18,6,1039065,30-Jun-18,DEF 14A,10/19/18,https://www.sec.gov/Archives/edgar/data/1039065/0001047469-18-006792.txt
OSI SYSTEMS INC,65607,2019,67104410,NAS,OSIS,30-Jun-19,6,1039065,30-Jun-19,DEF 14A,10/22/19,https://www.sec.gov/Archives/edgar/data/1039065/0001047469-19-005835.txt
OSI SYSTEMS INC,65607,2020,67104410,NAS,OSIS,30-Jun-20,6,1039065,30-Jun-20,DEF 14A,10/21/20,https://www.sec.gov/Archives/edgar/data/1039065/0001104659-20-116736.txt
L3 TECHNOLOGIES INC,110685,2017,50241310,NYS,LLL,31-Dec-17,12,1039101,31-Dec-17,DEF 14A,3/26/18,https://www.sec.gov/Archives/edgar/data/1039101/0001140361-18-014883.txt
FORMFACTOR INC,148390,2017,34637510,NAS,FORM,31-Dec-17,12,1039399,31-Dec-17,DEF 14A,04/03/18,https://www.sec.gov/Archives/edgar/data/1039399/0000950103-18-004369.txt
FORMFACTOR INC,148390,2018,34637510,NAS,FORM,31-Dec-18,12,1039399,31-Dec-18,DEF 14A,04/03/19,https://www.sec.gov/Archives/edgar/data/1039399/0000950103-19-004524.txt
FORMFACTOR INC,148390,2019,34637510,NAS,FORM,31-Dec-19,12,1039399,31-Dec-19,DEF 14A,04/03/20,https://www.sec.gov/Archives/edgar/data/1039399/0001140361-20-007911.txt
ONEOK INC,8151,2017,68268010,NYS,OKE,31-Dec-17,12,1039684,31-Dec-17,DEF 14A,04/05/18,https://www.sec.gov/Archives/edgar/data/1039684/0001193125-18-108750.txt
ONEOK INC,8151,2018,68268010,NYS,OKE,31-Dec-18,12,1039684,31-Dec-18,DEF 14A,04/04/19,https://www.sec.gov/Archives/edgar/data/1039684/0001193125-19-097910.txt
ONEOK INC,8151,2019,68268010,NYS,OKE,31-Dec-19,12,1039684,31-Dec-19,DEF 14A,04/03/20,https://www.sec.gov/Archives/edgar/data/1039684/0001193125-20-098177.txt
